entry_number,line_number,importer_id,hts10,description,import_date,entry_date,quantity,uom,entered_value,duty_base,duty_301,duty_232,duty_ieepa,mpf,hmf,ad_cvd,excise,country_of_origin,liquidated
APX-0002166,1,47-3319008,8517620089,"Machines for reception/conversion of voice, images or data (networking)",2024-11-29,2024-11-30,100,No.,48000.00,0,12000.00,0,0,166.27,60.00,0,0,CN,Y
APX-0002147,1,47-3319008,8482990015,Parts of ball or roller bearings,2024-08-22,2024-08-25,2500,No.,225000.00,6525.00,56250.00,0,0,779.40,281.25,0,0,CN,Y
APX-0002036,1,47-3319008,8504404015,Static converters: rectifiers and rectifying apparatus,2024-03-15,2024-03-20,400,No.,360000.00,5400.00,90000.00,90000.00,0,1247.04,450.00,0,0,CN,Y
APX-0002125,1,47-3319008,9032890024,"Automatic regulating/controlling instruments, other",2023-01-07,2023-01-07,400,No.,360000.00,6120.00,90000.00,0,0,1247.04,450.00,0,0,CN,Y
APX-0002100,1,47-3319008,8505110080,"Permanent magnets, of metal",2021-09-15,2021-09-15,50,No.,1100.00,23.10,275.00,0,0,3.81,1.38,0,0,CN,Y
APX-0002182,1,47-3319008,8532250038,"Fixed capacitors, dielectric of paper or plastics",2025-02-26,2025-02-26,400,No.,8800.00,0,2200.00,0,0,30.48,11.00,0,0,CN,Y
APX-0002170,1,47-3319008,8483300042,Bearing housings; plain shaft bearings,2022-11-08,2022-11-11,100,No.,14000.00,630.00,3500.00,0,0,48.50,17.50,0,0,CN,Y
APX-0002037,1,47-3319008,8507600072,Lithium-ion accumulators (batteries),2022-01-06,2022-01-08,1000,No.,60000.00,2040.00,15000.00,0,0,207.84,75.00,0,0,CN,Y
APX-0002202,1,47-3319008,3926909782,"Articles of plastics, other (face masks/components)",2024-08-17,2024-08-22,1000,No.,22000.00,1100.00,1650.00,0,0,76.21,27.50,0,0,CN,Y
APX-0002033,1,47-3319008,8525890089,"Television cameras, digital cameras, other",2021-12-07,2021-12-11,2500,No.,55000.00,1210.00,13750.00,0,0,190.52,68.75,0,0,CN,Y
APX-0002032,1,47-3319008,8541490021,"Photosensitive semiconductor devices, other",2026-05-24,2026-05-26,1500,No.,12000.00,0,3000.00,0,0,41.57,15.00,0,0,CN,Y
APX-0002070,1,47-3319008,8471300117,Portable automatic data processing machines (laptops),2023-01-07,2023-01-07,250,No.,8750.00,0,1750.00,0,0,30.31,10.94,0,0,CN,Y
APX-0002178,1,47-3319008,9032890099,"Automatic regulating/controlling instruments, other",2021-09-28,2021-10-03,100,No.,800.00,13.60,200.00,0,0,2.77,1.00,0,0,CN,Y
APX-0002105,1,47-3319008,8481900004,"Parts of taps, cocks, valves and similar appliances",2024-10-31,2024-10-31,400,No.,24000.00,240.00,6000.00,0,0,83.14,30.00,0,0,CN,Y
APX-0002034,1,47-3319008,8482990007,Parts of ball or roller bearings,2021-02-24,2021-02-28,1000,No.,8000.00,232.00,2000.00,0,0,27.71,10.00,0,0,CN,Y
APX-0002024,1,47-3319008,8533210075,"Fixed resistors, for a power handling capacity <= 20 W",2021-04-08,2021-04-08,400,No.,3200.00,0,800.00,0,320.00,11.08,4.00,0,0,CN,Y
APX-0002131,1,47-3319008,8536509079,"Switches for a voltage not exceeding 1,000 V, other",2024-05-29,2024-05-30,100,No.,3500.00,94.50,875.00,0,0,12.12,4.38,0,0,CN,Y
APX-0008001,1,47-3319008,7326908635,"Other articles of iron or steel, other",2025-05-15,2025-05-16,800,No.,96000.00,2784.00,24000.00,24000.00,0,332.54,120.00,0,0,CN,Y
APX-0002146,1,47-3319008,8531800086,"Electric sound or visual signaling apparatus, other",2022-12-03,2022-12-05,1500,No.,720000.00,9360.00,180000.00,180000.00,0,2494.08,900.00,0,0,CN,Y
APX-0002169,1,47-3319008,8471300155,Portable automatic data processing machines (laptops),2025-06-03,2025-06-07,100,No.,9000.00,0,1800.00,0,900.00,31.18,11.25,0,0,CN,Y
APX-0002074,1,47-3319008,9030890085,"Instruments for measuring electrical quantities, other",2025-08-01,2025-08-05,1500,No.,33000.00,528.00,8250.00,0,0,114.31,41.25,0,0,CN,Y
APX-0002082,1,47-3319008,7604290048,"Aluminum bars, rods and profiles, other",2021-04-18,2021-04-19,1500,No.,52500.00,2625.00,3937.50,0,0,181.86,65.63,0,0,CN,Y
APX-0002043,1,47-3319008,9030890026,"Instruments for measuring electrical quantities, other",2023-08-11,2023-08-11,600,No.,288000.00,4608.00,72000.00,0,0,997.63,360.00,0,0,CN,Y
APX-0002137,1,47-3319008,8507600038,Lithium-ion accumulators (batteries),2023-06-07,2023-06-10,1500,No.,90000.00,3060.00,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002152,1,47-3319008,9403200069,Other metal furniture,2025-01-12,2025-01-17,1500,No.,1350000.00,0,337500.00,0,0,4676.40,1687.50,0,0,CN,Y
APX-0002071,1,47-3319008,8517690052,Other apparatus for transmission/reception of voice/data,2023-06-26,2023-06-29,1000,No.,480000.00,0,120000.00,0,0,1662.72,600.00,0,0,CN,Y
APX-0002136,1,47-3319008,8538900085,"Parts for switching/protecting electrical circuits, other",2025-12-03,2025-12-05,50,No.,11000.00,385.00,2750.00,0,0,38.10,13.75,0,0,CN,N
APX-0002191,1,47-3319008,8542310022,Electronic integrated circuits: processors and controllers,2025-02-06,2025-02-11,2500,No.,550000.00,0,137500.00,0,0,1905.20,687.50,0,0,CN,Y
APX-0002145,1,47-3319008,9030890014,"Instruments for measuring electrical quantities, other",2021-08-29,2021-09-03,2500,No.,37500.00,600.00,9375.00,0,0,129.90,46.88,0,0,CN,Y
APX-0002015,1,47-3319008,8471800032,Other units of automatic data processing machines,2024-09-10,2024-09-15,50,No.,750.00,0,187.50,0,0,2.60,0.94,0,0,CN,Y
APX-0002180,1,47-3319008,8471500114,"Processing units (servers), other",2021-06-29,2021-07-02,1000,No.,140000.00,0,28000.00,0,0,484.96,175.00,0,0,CN,Y
APX-0002052,1,47-3319008,8542310098,Electronic integrated circuits: processors and controllers,2024-06-19,2024-06-23,600,No.,54000.00,0,13500.00,0,0,187.06,67.50,0,0,CN,Y
APX-0002035,1,47-3319008,8528590007,"Monitors, other (not incorporating TV reception apparatus)",2021-04-03,2021-04-04,100,No.,2200.00,110.00,550.00,0,0,7.62,2.75,0,0,CN,Y
APX-0002157,1,47-3319008,8532250008,"Fixed capacitors, dielectric of paper or plastics",2022-01-30,2022-01-31,400,No.,360000.00,0,90000.00,0,0,1247.04,450.00,0,0,CN,Y
APX-0002042,1,47-3319008,8538900014,"Parts for switching/protecting electrical circuits, other",2021-09-28,2021-10-03,100,No.,48000.00,1680.00,12000.00,0,0,166.27,60.00,0,0,CN,Y
APX-0002109,1,47-3319008,8467990064,"Parts of tools for working in the hand, other",2021-04-27,2021-05-02,2500,No.,550000.00,0,137500.00,0,0,1905.20,687.50,0,0,CN,Y
APX-0002161,1,47-3319008,8537100057,"Boards/panels for electric control, <= 1,000 V",2024-03-13,2024-03-17,1000,No.,480000.00,12960.00,120000.00,120000.00,0,1662.72,600.00,0,0,CN,Y
APX-0002156,1,47-3319008,9026100076,Instruments for measuring flow/level of liquids,2025-04-13,2025-04-17,50,No.,400.00,6.40,100.00,0,0,1.39,0.50,0,0,CN,Y
APX-0002181,1,47-3319008,8471800085,Other units of automatic data processing machines,2022-02-08,2022-02-08,600,No.,4800.00,0,1200.00,0,0,16.63,6.00,0,0,CN,Y
APX-0002197,1,47-3319008,8529900013,"Parts for transmission/reception apparatus, other",2023-09-13,2023-09-18,1000,No.,15000.00,360.00,3750.00,0,1500.00,51.96,18.75,0,0,CN,Y
APX-0002176,1,47-3319008,7307990051,"Tube or pipe fittings of iron or steel, other",2025-01-09,2025-01-14,100,No.,2200.00,94.60,550.00,0,220.00,7.62,2.75,0,0,CN,Y
APX-0002150,1,47-3319008,9031800052,"Measuring/checking instruments, other",2021-02-14,2021-02-17,100,No.,2200.00,28.60,550.00,0,0,7.62,2.75,0,0,CN,Y
APX-0002205,1,47-3319008,8517620064,"Machines for reception/conversion of voice, images or data (networking)",2025-10-13,2025-10-14,50,No.,4500.00,0,1125.00,0,0,15.59,5.63,0,0,CN,N
APX-0002053,1,47-3319008,9030890003,"Instruments for measuring electrical quantities, other",2021-11-14,2021-11-14,100,No.,6000.00,96.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002060,1,47-3319008,8525890074,"Television cameras, digital cameras, other",2023-05-07,2023-05-10,1000,No.,220000.00,4840.00,55000.00,0,0,762.08,275.00,0,0,CN,Y
APX-0002030,1,47-3319008,8534000009,Printed circuits,2021-06-02,2021-06-02,2500,No.,1200000.00,0,300000.00,300000.00,0,4156.80,1500.00,0,0,CN,Y
APX-0002215,1,47-3319008,8529900078,"Parts for transmission/reception apparatus, other",2020-12-22,2020-12-26,50,No.,750.00,18.00,187.50,0,0,2.60,0.94,0,0,CN,Y
APX-0002022,1,47-3319008,8532250069,"Fixed capacitors, dielectric of paper or plastics",2023-02-09,2023-02-12,400,No.,24000.00,0,6000.00,0,0,83.14,30.00,0,0,CN,Y
APX-0002089,1,47-3319008,9032890023,"Automatic regulating/controlling instruments, other",2022-11-10,2022-11-14,2500,No.,87500.00,1487.50,21875.00,0,0,303.10,109.38,0,0,CN,Y
APX-0002067,1,47-3319008,9025118092,"Thermometers, not combined with other instruments",2023-05-16,2023-05-19,1500,No.,720000.00,0,180000.00,0,0,2494.08,900.00,0,0,CN,Y
APX-0002115,1,47-3319008,8536509058,"Switches for a voltage not exceeding 1,000 V, other",2022-04-14,2022-04-17,100,No.,9000.00,243.00,2250.00,0,0,31.18,11.25,0,0,CN,Y
APX-0002008,1,47-3319008,7616995126,"Articles of aluminum, other",2024-04-14,2024-04-15,600,No.,9000.00,225.00,675.00,0,0,31.18,11.25,0,0,CN,Y
APX-0002076,1,47-3319008,9013809059,"Liquid crystal devices, other optical appliances",2022-04-30,2022-05-02,250,No.,2000.00,90.00,150.00,0,0,6.93,2.50,0,0,CN,Y
APX-0002063,1,47-3319008,8537100078,"Boards/panels for electric control, <= 1,000 V",2023-03-12,2023-03-17,100,No.,22000.00,594.00,5500.00,0,0,76.21,27.50,0,0,CN,Y
APX-0002192,1,47-3319008,8505110082,"Permanent magnets, of metal",2021-09-19,2021-09-24,1000,No.,90000.00,1890.00,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002167,1,47-3319008,8517690043,Other apparatus for transmission/reception of voice/data,2023-03-15,2023-03-17,2500,No.,350000.00,0,87500.00,0,0,1212.40,437.50,0,0,CN,Y
APX-0002188,1,47-3319008,8504404039,Static converters: rectifiers and rectifying apparatus,2022-09-27,2022-10-02,1000,No.,35000.00,525.00,8750.00,0,3500.00,121.24,43.75,0,0,CN,Y
APX-0002026,1,47-3319008,9013809092,"Liquid crystal devices, other optical appliances",2025-04-08,2025-04-08,2500,No.,87500.00,3937.50,6562.50,0,0,303.10,109.38,0,0,CN,Y
APX-0002108,1,47-3319008,8538903095,Printed circuit assemblies for switchgear,2021-07-26,2021-07-29,600,No.,132000.00,0,33000.00,0,0,457.25,165.00,0,0,CN,Y
APX-0002055,1,47-3319008,8544429049,"Insulated electric conductors fitted with connectors, other",2021-02-12,2021-02-16,400,No.,24000.00,624.00,6000.00,0,2400.00,83.14,30.00,0,0,CN,Y
APX-0002219,1,47-3319008,8505110053,"Permanent magnets, of metal",2023-10-22,2023-10-26,250,No.,3750.00,78.75,937.50,0,375.00,12.99,4.69,0,0,CN,Y
APX-0002112,1,47-3319008,9031800056,"Measuring/checking instruments, other",2026-06-17,2026-06-17,600,No.,13200.00,171.60,3300.00,0,0,45.72,16.50,0,0,CN,N
APX-0002184,1,47-3319008,8483300085,Bearing housings; plain shaft bearings,2023-02-05,2023-02-05,1000,No.,15000.00,675.00,3750.00,0,1500.00,51.96,18.75,0,0,CN,Y
APX-0002194,1,47-3319008,8541490047,"Photosensitive semiconductor devices, other",2024-06-26,2024-06-30,600,No.,9000.00,0,2250.00,0,0,31.18,11.25,0,0,CN,Y
APX-0002010,1,47-3319008,8541490029,"Photosensitive semiconductor devices, other",2023-02-13,2023-02-17,50,No.,4500.00,0,1125.00,0,0,15.59,5.63,0,0,CN,Y
APX-0002193,1,47-3319008,8409910035,Parts for spark-ignition internal combustion engines,2023-09-19,2023-09-19,50,No.,4500.00,112.50,1125.00,1125.00,0,15.59,5.63,0,0,CN,Y
APX-0002218,1,47-3319008,8504409580,"Static converters (power supplies), other",2022-07-03,2022-07-04,400,No.,8800.00,132.00,2200.00,0,0,30.48,11.00,0,0,CN,Y
APX-0002138,1,47-3319008,8537100013,"Boards/panels for electric control, <= 1,000 V",2024-01-29,2024-02-03,400,No.,56000.00,1512.00,14000.00,0,0,193.98,70.00,0,0,CN,Y
APX-0002093,1,47-3319008,7616995154,"Articles of aluminum, other",2024-10-23,2024-10-24,1000,No.,90000.00,2250.00,6750.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002210,1,47-3319008,9405400070,Other electric lamps and lighting fittings,2025-08-23,2025-08-24,100,No.,48000.00,1680.00,12000.00,0,0,166.27,60.00,0,0,CN,Y
APX-0002139,1,47-3319008,8481900002,"Parts of taps, cocks, valves and similar appliances",2020-11-30,2020-12-05,1500,No.,90000.00,900.00,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002198,1,47-3319008,8529900056,"Parts for transmission/reception apparatus, other",2022-12-17,2022-12-19,250,No.,22500.00,540.00,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002068,1,47-3319008,8529900033,"Parts for transmission/reception apparatus, other",2025-03-01,2025-03-02,400,No.,24000.00,576.00,6000.00,0,0,83.14,30.00,0,0,CN,Y
